year,가톨릭,합격인원,건국대,합격인원,경희대,합격인원,고려대,합격인원,광운대,합격인원,단국대,합격인원,덕성여대,합격인원,동국대,합격인원,동덕여대,합격인원,서강대,합격인원,서울과기대,합격인원,서울시립대,합격인원,성균관대,합격인원,성신여대,합격인원,세종대,합격인원,숙명여대,합격인원,숭실대,합격인원,아주대,합격인원,연세대,합격인원,이화여대,합격인원,인하대,합격인원,중앙대,합격인원,중앙대(다빈치),합격인원,한양대,합격인원,항공대,합격인원,홍익대,합격인원,,학교명,논술유형,수능최저
2025,88,2,99,1,94,2,94,2,76,3,74,4,74,4,94,2,94,2,99,1,88,2,94,2,98,1,88,2,88,2,88,2,96,1,65,4,96,1,84,3,69,4,98,1,74,4,91,2,99,1,88,2,,가톨릭대,"수, 수Ⅰ, 수Ⅱ, 미적분(성심(자연과학, 공학), 성의(간호)) /
수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계(성심(약학), 성의(의예))","간호 : 국,수,영,탐(1) 중 3개 합 7
약학 : 국,수,영,과(1) 중 3개 합 5
의예 :  국,수,영,과(절사) 중 3개 합 4, 한 4"
2025,99,1,,,76,3,,,88,2,79,3,79,3,97,1,65,4,97,1,97,1,88,2,97,1,94,2,94,2,88,2,94,2,94,2,94,2,94,2,94,2,76,3,88,2,96,1,97,1,99,1,,건국대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연 :  국,수,영,탐(1) 중 2개 합 5, 한 5
수의예 : 국,수,영,탐(1) 중 3개 합 4, 한 5"
2025,99,1,88,2,92,2,96,1,69,4,88,2,88,2,94,2,53,5,100,1,88,2,88,2,94,2,81,3,88,2,88,2,94,2,72,4,94,2,97,1,99,1,99,1,,,98,1,88,2,97,1,,경희대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연 :  국,수,영,탐 중 2개 합 5, 한 5
의,치,한,약 : 국,수,영,탐 중 3개 합 4, 한 5
체육 : 국,수,영,탐 중 1개 영역 이상 3 이내"
2025,,,88,2,97,1,97,1,97,1,88,2,84,3,76,3,81,3,99,1,69,4,88,2,99,1,74,4,81,3,94,2,88,2,97,1,97,1,99,1,81,3,100,1,91,2,97,1,79,3,88,2,,고려대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","국,수,영,탐(1) 중 4개 합 8, 한 4"
2025,96,1,99,1,97,1,99,1,94,2,84,3,84,3,81,3,94,2,99,1,88,2,97,1,100,1,81,3,94,2,81,3,97,1,94,2,96,1,99,1,96,1,69,4,52,5,88,2,88,2,88,2,,광운대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계",없음.
2025,,,97,1,81,3,88,2,88,2,74,4,69,4,84,3,60,4,100,1,84,3,97,1,97,1,81,3,84,3,94,2,88,2,88,2,97,1,91,2,81,3,84,3,84,3,98,1,88,2,94,2,,단국대,"수, 수Ⅰ, 수Ⅱ, 미적분",없음.
2025,91,2,74,4,94,2,88,2,88,2,67,4,79,3,88,2,67,4,100,1,88,2,99,1,99,1,81,3,94,2,84,3,91,2,84,3,100,1,94,2,72,4,88,2,76,3,97,1,81,3,96,1,,덕성여대,"수, 수Ⅰ, 수Ⅱ /
수, 수Ⅰ, 수Ⅱ, 미적분(약학)","과학기술대학 :  국,수,영,탐(1) 중 2개 합 7
약학 : 국,수,영,탐(1) 중 3개 합 5(수 포함, 영 또는 사 1개만 반영 )"
2025,94,2,96,1,88,2,99,1,94,2,94,2,74,4,94,2,69,4,96,1,94,2,81,3,94,2,88,2,88,2,100,1,88,2,91,2,99,1,94,2,69,4,,,88,2,99,1,86,3,84,3,,동국대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연, 바이오시스템 : 국,수,영,탐/직(1) 중 2개 합 5, 한 4(수 또는 과 포함)
경찰행정(자연) :  국,수,영,탐/직(1) 중 2개 합 4, 한 4
약학 : 국,수,영,탐/직(1) 중 3개 합 4, 한 4(수 또는 과 포함)"
2025,91,2,94,2,72,4,98,1,88,2,88,2,69,4,76,3,76,3,84,3,94,2,81,3,88,2,88,2,94,2,74,4,94,2,81,3,99,1,96,1,76,3,65,4,79,3,100,1,94,2,96,1,,동덕여대,"수, 수Ⅰ, 수Ⅱ, 미적분","국,수,영,탐(1) 중 2개 합 6"
2025,99,1,96,1,94,2,98,1,94,2,74,4,84,3,94,2,65,4,99,1,88,2,94,2,97,1,94,2,88,2,88,2,97,1,88,2,99,1,97,1,,,86,3,88,2,100,1,88,2,88,2,,서강대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","국,수,영,탐/직(1) 중 3개 합 7, 한 4"
2025,88,2,88,2,94,2,97,1,86,3,81,3,88,2,81,3,60,4,94,2,99,1,88,2,76,3,97,1,94,2,88,2,88,2,84,3,100,1,81,3,86,3,,,76,3,100,1,81,3,99,1,,서울과기대,"수, 수Ⅰ, 수Ⅱ, 미적분",없음.
2025,88,2,97,1,81,3,99,1,84,3,81,3,65,4,96,1,69,4,99,1,99,1,91,2,97,1,63,4,88,2,94,2,97,1,88,2,94,2,96,1,54,5,100,1,76,3,99,1,72,4,97,1,,서울시립대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하",없음.
2025,91,3,97,1,,,94,2,84,3,79,3,76,3,97,1,69,4,97,1,97,1,81,3,99,1,99,1,94,2,81,3,88,2,81,3,100,1,88,2,91,2,96,1,94,2,88,2,81,3,94,2,,성균관대,"수, 수Ⅰ, 수Ⅱ","자유전공계열 : 국,수,영,탐 중 3개 합 5
자연,공학,건설환경공학 : 국,수,영,탐 중 3개 합 6
에너지,반도체시스템,글로벌바이오메티컬, 약학, 지능형소프트웨어,반도체융합공학 : 국,수,영,탐 중 3개 합 6
전기전자공학부,소프트웨어학과 : 국,수,영,탐1,탐2 중 3개 합 5
의예 : 국,수,영,탐 중 4개 합 5"
2025,74,4,97,1,88,2,88,2,96,1,88,2,76,3,97,1,76,3,81,3,88,2,81,3,97,1,94,2,97,1,88,2,81,3,88,2,,,88,2,76,3,94,2,88,2,99,1,81,3,94,2,,성신여대,"수, 수Ⅰ, 수Ⅱ, 미적분","국,수,영,탐/직(1) 중 2개 합 7"
2025,88,2,,,97,1,100,1,69,4,94,2,84,3,88,2,76,3,97,1,81,3,99,1,94,2,99,1,88,2,81,3,97,1,91,2,99,1,88,2,84,3,94,2,81,3,99,1,84,3,81,3,,세종대,"수, 수Ⅰ, 수Ⅱ, 미적분","국,수,영,탐(1) 중 2개 합 5"
2025,69,4,96,1,97,1,84,3,91,2,88,2,81,3,88,2,72,4,99,1,81,3,96,1,91,2,,,81,3,74,4,88,2,88,2,99,1,94,2,,,94,2,88,2,94,2,81,3,88,2,,숙명여대,"수, 수Ⅰ, 수Ⅱ, 미적분","자연 : 국,수,영,탐(1) 중 2개 합 5
약학 : 국,수,영,탐(1) 중 3개 합 4(수 포함)"
2025,88,2,97,1,97,1,97,1,,,91,2,84,3,,,94,2,100,1,96,1,88,2,94,2,65,4,99,1,94,2,97,1,76,3,91,2,81,3,88,2,94,2,81,3,94,2,94,2,97,1,,숭실대,"수, 수Ⅰ, 수Ⅱ, 미적분","국,수,영,탐(1) 중 2개 합 6"
2025,56,5,92,2,94,2,98,1,88,2,81,3,69,4,81,3,97,1,81,3,79,3,88,2,99,1,84,3,94,2,88,2,81,3,74,4,96,1,88,2,98,1,76,3,81,3,,,97,1,96,1,,아주대,"수, 수Ⅰ, 수Ⅱ, 미적분","의학 : 국,수,영,탐 4개 합 6
약학 : 국,수,영,탐 중 3개 합 5"
2025,60,4,69,4,81,3,84,3,99,1,81,3,84,3,94,2,81,3,100,1,91,2,97,1,97,1,88,2,94,2,94,2,91,2,94,2,88,2,88,2,88,2,97,1,,,99,1,69,4,79,3,,연세대,"수학 교과 전 과목 /
수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하(연세대(미래)(의예))",없음.
2025,63,4,94,2,86,3,99,1,88,2,76,3,81,3,79,3,60,4,,,88,2,88,2,99,1,76,3,81,3,69,4,97,1,97,1,99,1,97,1,88,2,97,1,,,88,2,56,5,76,3,,이화여대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연 : 국,수,영,탐(1) 중 2개 합 5(수 포함)
약학 : 국,수,영,탐(1) 4개 합 6
의예 : 국,수,영,탐(1) 4개 합 5
스크랜튼학부 : 국,수,영,탐(1) 중 3개 합 5"
2025,81,3,94,2,84,3,96,1,94,2,81,3,76,3,97,1,97,1,,,88,2,97,1,88,2,,,88,2,96,1,97,1,88,2,94,2,97,1,72,4,99,1,,,91,2,88,2,97,1,,인하대,"수, 수Ⅰ, 수Ⅱ, 미적분","의예 : 국,수,영,과 중 3개 각 1"
2025,74,4,100,1,88,2,91,2,81,3,76,3,76,3,96,1,84,3,,,99,1,97,1,100,1,76,3,91,2,97,1,88,2,99,1,97,1,91,2,88,2,100,1,,,99,1,69,4,76,3,,중앙대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연 : 국,수,영,탐(1) 중 3개 합 6, 한 4, 영어 2등급은 1등급으로 인정
약학 : 국,수,영,탐(1) 중 4개 합 5, 한 4, 영어 2등급은 1등급으로 인정
의학 :  국,수,영,탐 중 4개 합 5, 한 4, 영어 2등급은 1등급으로 인정"
2025,63,4,99,1,88,2,94,2,84,3,97,1,84,3,94,2,97,1,,,97,1,94,2,97,1,76,3,91,2,94,2,88,2,94,2,97,1,88,2,99,1,97,1,,,97,1,94,2,94,2,,중앙대(다빈치),"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연 : 국,수,영,탐(1) 중 3개 합 6, 한 4, 영어 2등급은 1등급으로 인정
약학 : 국,수,영,탐(1) 중 4개 합 5, 한 4, 영어 2등급은 1등급으로 인정
의학 :  국,수,영,탐 중 4개 합 5, 한 4, 영어 2등급은 2등급으로 인정"
2025,74,4,88,2,94,2,88,2,97,1,72,4,76,3,88,2,76,3,,,91,2,97,1,100,1,81,3,60,4,88,2,91,2,94,2,94,2,88,2,88,2,96,1,,,99,1,88,2,94,2,,한양대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","자연 : 국,수,영,탐(1) 중 3개 합 7(국,수,영,탐 2과목 필수 응시)
의예 : 국,수,영,탐 중 3개 합 4(국,수,영,탐 2과목 필수 응시)"
2025,74,4,81,3,99,1,99,1,88,2,76,3,88,2,94,2,81,3,,,88,2,97,1,94,2,81,3,97,1,79,3,81,3,88,2,98,1,84,3,97,1,97,1,,,94,2,60,4,88,2,,항공대,"수, 수Ⅰ, 수Ⅱ (이학) /
수, 수Ⅰ, 수Ⅱ, 미적분 (공학)","국,수,영,탐(1) 중 2개 합 6"
2025,81,3,88,2,96,1,94,2,81,3,81,3,69,4,96,1,81,3,,,94,2,97,1,81,3,81,3,91,2,94,2,88,2,76,3,99,1,84,3,84,3,94,2,,,91,2,72,4,100,1,,홍익대,"수, 수Ⅰ, 수Ⅱ, 미적분, 확률과 통계, 기하","국,수,영,탐(1) 중 2개 합 5, 한국사 4"
2025,67,4,94,2,84,3,100,1,99,1,67,4,81,3,94,2,81,3,,,74,4,79,3,88,2,88,2,97,1,72,4,94,2,97,1,97,1,94,2,88,2,97,1,,,100,1,76,3,100,1,,,,
2025,81,3,97,1,88,2,91,2,94,2,94,2,76,3,91,2,67,4,,,79,3,81,3,99,1,88,2,94,2,81,3,65,4,88,2,99,1,97,1,94,2,94,2,,,97,1,60,4,92,2,,,,
2025,94,2,88,2,91,2,99,1,94,2,76,3,65,4,91,2,81,3,,,94,2,91,2,81,3,94,2,74,4,81,3,88,2,67,4,99,1,91,2,97,1,94,2,,,97,1,76,3,88,2,,,,
2025,97,1,69,4,99,1,99,1,81,3,81,3,74,4,94,2,76,3,,,88,2,,,94,2,81,3,96,1,94,2,81,3,94,2,99,1,81,3,88,2,96,1,,,96,1,81,3,94,2,,,,
2025,69,4,97,1,94,2,97,1,67,4,97,1,,,81,3,60,4,,,81,3,,,100,1,60,4,92,2,88,2,74,4,97,1,99,1,79,3,88,2,100,1,,,84,3,74,4,96,1,,,,
2025,76,3,94,2,94,2,99,1,88,2,94,2,,,94,2,76,3,,,94,2,,,94,2,,,84,3,74,4,88,2,88,2,97,1,91,2,,,96,1,,,99,1,76,3,99,1,,,,
2025,88,2,88,2,97,1,99,1,96,1,97,1,,,91,2,69,4,,,69,4,,,96,1,79,3,81,3,88,2,97,1,99,1,94,2,94,2,94,2,81,3,,,97,1,79,3,94,2,,,,
2025,65,4,91,2,97,1,99,1,,,91,2,,,94,2,,,,,88,2,,,97,1,88,2,88,2,97,1,94,2,88,2,99,1,88,2,79,3,84,3,,,,,97,1,91,2,,,,
2025,78,3,99,1,94,2,99,1,74,4,94,2,,,88,2,,,,,99,1,,,99,1,84,3,74,4,91,2,97,1,,,100,1,88,2,94,2,,,,,100,1,76,3,94,2,,,,
2025,,,88,2,81,3,94,2,97,1,94,2,,,91,2,,,,,97,1,,,,,88,2,97,1,,,94,2,,,94,2,97,1,,,97,1,,,,,91,2,94,2,,,,
2025,,,88,2,97,1,94,2,88,2,65,4,,,94,2,,,,,88,2,,,99,1,81,3,91,2,,,88,2,,,94,2,88,2,63,4,94,2,,,88,2,81,3,74,4,,,,
2025,,,99,1,97,1,99,1,88,2,67,4,,,99,1,,,,,76,3,,,99,1,65,4,97,1,,,88,2,,,100,1,94,2,,,97,1,,,,,88,2,88,2,,,,
2025,,,91,2,94,2,91,2,81,3,88,2,,,88,2,,,,,74,4,,,88,2,81,3,97,1,,,79,3,,,99,1,96,1,98,1,99,1,,,81,3,84,3,84,3,,,,
2025,,,88,2,97,1,97,1,88,2,81,3,,,88,2,,,,,91,2,,,100,1,69,4,94,2,,,84,3,,,98,1,94,2,91,2,94,2,,,100,1,81,3,94,2,,,,
2025,,,94,2,97,1,100,1,,,88,2,,,94,2,,,,,84,3,,,94,2,81,3,88,2,,,76,3,,,88,2,97,1,79,3,69,4,,,97,1,88,2,88,2,,,,
2025,,,97,1,97,1,100,1,97,1,94,2,,,97,1,,,,,97,1,,,97,1,88,2,88,2,,,72,4,,,81,3,97,1,81,3,88,2,,,94,2,81,3,97,1,,,,
2025,,,99,1,97,1,97,1,84,3,94,2,,,88,2,,,,,97,1,,,100,1,74,4,88,2,,,88,2,,,100,1,99,1,88,2,,,,,88,2,94,2,88,2,,,,
2025,,,94,2,97,1,99,1,79,3,,,,,74,4,,,,,81,3,,,98,1,67,4,94,2,,,97,1,,,99,1,,,94,2,97,1,,,84,3,69,4,100,1,,,,
2025,,,42,5,91,2,94,2,94,2,94,2,,,99,1,,,,,97,1,,,99,1,,,88,2,,,88,2,,,97,1,,,,,94,2,,,94,2,81,3,97,1,,,,
2025,,,91,2,91,2,81,3,91,2,84,3,,,91,2,,,,,94,2,,,99,1,,,94,2,,,69,4,,,94,2,,,88,2,94,2,,,99,1,81,3,99,1,,,,
2025,,,92,2,88,2,94,2,97,1,81,3,,,76,3,,,,,94,2,,,97,1,,,91,2,,,97,1,,,91,2,,,88,2,,,,,97,1,96,1,97,1,,,,
2025,,,99,1,97,1,94,2,69,4,88,2,,,99,1,,,,,74,4,,,86,3,,,76,3,,,88,2,,,97,1,,,94,2,97,1,,,99,1,88,2,94,2,,,,
2025,,,94,2,97,1,97,1,97,1,97,1,,,79,3,,,,,97,1,,,99,1,,,94,2,,,81,3,,,88,2,,,88,2,94,2,,,99,1,81,3,94,2,,,,
2025,,,88,2,74,4,98,1,94,2,97,1,,,88,2,,,,,81,3,,,99,1,,,81,3,,,88,2,,,97,1,,,88,2,94,2,,,88,2,81,3,84,3,,,,
2025,,,94,2,97,1,99,1,81,3,56,5,,,88,2,,,,,74,4,,,88,2,,,91,2,,,94,2,,,97,1,,,97,1,94,2,,,97,1,81,3,99,1,,,,
2025,,,97,1,97,1,100,1,81,3,67,4,,,94,2,,,,,94,2,,,94,2,,,88,2,,,74,4,,,96,1,,,86,3,97,1,,,97,1,81,3,97,1,,,,
2025,,,94,2,94,2,97,1,76,3,81,3,,,88,2,,,,,94,2,,,97,1,,,91,2,,,94,2,,,94,2,,,94,2,88,2,,,97,1,88,2,99,1,,,,
2025,,,99,1,100,1,97,1,94,2,74,4,,,88,2,,,,,97,1,,,97,1,,,94,2,,,88,2,,,88,2,,,94,2,100,1,,,97,1,94,2,94,2,,,,
2025,,,97,1,94,2,99,1,81,3,76,3,,,99,1,,,,,84,3,,,97,1,,,88,2,,,81,3,,,97,1,,,88,2,97,1,,,94,2,88,2,91,2,,,,
2025,,,97,1,91,2,88,2,81,3,79,3,,,88,2,,,,,81,3,,,100,1,,,88,2,,,99,1,,,94,2,,,81,3,97,1,,,88,2,74,4,88,2,,,,
2025,,,97,1,88,2,94,2,88,2,76,3,,,81,3,,,,,81,3,,,97,1,,,76,3,,,96,1,,,,,,,88,2,97,1,,,94,2,88,2,81,3,,,,
2025,,,94,2,97,1,88,2,84,3,,,,,97,1,,,,,69,4,,,91,2,,,88,2,,,98,1,,,86,3,,,94,2,94,2,,,100,1,94,2,97,1,,,,
2025,,,99,1,97,1,100,1,,,,,,,81,3,,,,,69,4,,,76,3,,,94,2,,,69,4,,,,,,,69,4,97,1,,,97,1,81,3,100,1,,,,
2025,,,99,1,88,2,99,1,,,,,,,97,1,,,,,92,2,,,96,1,,,62,4,,,91,2,,,97,1,,,,,97,1,,,,,88,2,94,2,,,,
2025,,,94,2,,,97,1,,,,,,,81,3,,,,,79,3,,,97,1,,,88,2,,,88,2,,,,,,,74,4,,,,,88,2,81,3,94,2,,,,
2025,,,100,1,94,2,96,1,,,,,,,81,3,,,,,88,2,,,99,1,,,94,2,,,99,1,,,,,,,94,2,94,2,,,88,2,88,2,94,2,,,,
2025,,,,,94,2,100,1,,,,,,,99,1,,,,,88,2,,,,,,,81,3,,,88,2,,,,,,,94,2,94,2,,,97,1,88,2,88,2,,,,
2025,,,94,2,94,2,100,1,,,,,,,79,3,,,,,84,3,,,97,1,,,88,2,,,88,2,,,,,,,81,3,97,1,,,94,2,81,3,84,3,,,,
2025,,,94,2,97,1,,,,,,,,,,,,,,,65,4,,,99,1,,,88,2,,,88,2,,,,,,,88,2,81,3,,,88,2,81,3,84,3,,,,
2025,,,88,2,94,2,99,1,,,,,,,,,,,,,84,3,,,96,1,,,88,2,,,84,3,,,,,,,74,4,97,1,,,97,1,96,1,97,1,,,,
2025,,,94,2,94,2,97,1,,,,,,,,,,,,,74,4,,,88,2,,,97,1,,,,,,,,,,,84,3,74,4,,,99,1,94,2,100,1,,,,
2025,,,81,3,76,3,96,1,,,,,,,,,,,,,88,2,,,91,2,,,94,2,,,,,,,,,,,81,3,88,2,,,97,1,,,97,1,,,,
2025,,,98,1,81,3,88,2,,,,,,,,,,,,,69,4,,,91,2,,,88,2,,,,,,,,,,,76,3,94,2,,,100,1,96,1,88,2,,,,
2025,,,100,1,100,1,100,1,,,,,,,,,,,,,76,3,,,,,,,88,2,,,,,,,,,,,99,1,97,1,,,88,2,76,3,72,4,,,,
2025,,,81,3,72,4,,,,,,,,,,,,,,,,,,,88,2,,,97,1,,,,,,,,,,,81,3,97,1,,,98,1,88,2,88,2,,,,
2025,,,94,2,94,2,100,1,,,,,,,,,,,,,,,,,94,2,,,81,3,,,,,,,,,,,81,3,99,1,,,,,,,99,1,,,,
2025,,,,,88,2,88,2,,,,,,,,,,,,,,,,,99,1,,,94,2,,,,,,,,,,,94,2,99,1,,,94,2,,,88,2,,,,
2025,,,94,2,69,4,99,1,,,,,,,,,,,,,,,,,100,1,,,76,3,,,,,,,,,,,94,2,94,2,,,88,2,,,81,3,,,,
2025,,,94,2,88,2,94,2,,,,,,,,,,,,,,,,,99,1,,,96,1,,,,,,,,,,,88,2,98,1,,,88,2,,,94,2,,,,
2025,,,,,88,2,99,1,,,,,,,,,,,,,,,,,99,1,,,81,3,,,,,,,,,,,84,3,91,2,,,100,1,,,99,1,,,,
2025,,,,,100,1,100,1,,,,,,,,,,,,,,,,,97,1,,,94,2,,,,,,,,,,,97,1,88,2,,,,,,,97,1,,,,
2025,,,,,100,1,88,2,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,99,1,,,,,,,88,2,,,,
2025,,,,,99,1,94,2,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,97,1,97,1,,,,,,,91,2,,,,
2025,,,,,92,2,100,1,,,,,,,,,,,,,,,,,,,,,97,1,,,,,,,,,,,94,2,,,,,,,,,88,2,,,,
2025,,,,,97,1,97,1,,,,,,,,,,,,,,,,,,,,,99,1,,,,,,,,,,,88,2,98,1,,,,,,,76,3,,,,
2025,,,,,94,2,99,1,,,,,,,,,,,,,,,,,,,,,81,3,,,,,,,,,,,91,2,99,1,,,,,,,96,1,,,,
2025,,,,,88,2,96,1,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,81,3,92,2,,,,,,,97,1,,,,
2025,,,,,97,1,94,2,,,,,,,,,,,,,,,,,,,,,97,1,,,,,,,,,,,,,79,3,,,,,,,97,1,,,,
2025,,,,,88,2,97,1,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,,,96,1,,,,,,,94,2,,,,
2025,,,,,99,1,99,1,,,,,,,,,,,,,,,,,,,,,76,3,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,94,2,99,1,,,,,,,,,,,,,,,,,,,,,81,3,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,67,4,100,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,100,1,,,,
2025,,,,,81,3,97,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,81,3,,,,
2025,,,,,99,1,97,1,,,,,,,,,,,,,,,,,,,,,84,3,,,,,,,,,,,,,,,,,,,,,88,2,,,,
2025,,,,,88,2,100,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,81,3,,,,
2025,,,,,94,2,97,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,99,1,,,,
2025,,,,,94,2,98,1,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,,,97,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,91,2,,,,
2025,,,,,99,1,91,2,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,88,2,97,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,84,3,,,,
